site,quads,tree_cover,shrub_cover,ground_cover,crust_cover,vegetation_condition,crust_richness,Acmu,Acsp,Asdr,Baca,Baha,Baho,Brar,Brbi,Brce,Brdi,Brpa,Brsp,BrspC,Cala,Cals,Capi,Casq,Cepu,Clsp,Coco,Deco,Dito,Ecpu,Enpu,Enro,Ensi,Fosp,Fusp,Gire,Goen,Hede,Leoc,Lepr,Lesp,Pepa,Phro,Pobr,Psde,Ricr,Rila,Rili,Rini,Sico,Stol,Topa,Trco,Xafl
5,1,11,44,39,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,13,11,14,2.4,70.83333333,16,0,0,0,0,0,3,4,0,0,4,2,0,1,0,0,0,0,0,0,0,3,0,0,4,1,2,0,0,0,4,1,0,0,1,1,2,0,0,1,0,0,2,0,0,0,0,0
8,2,3,17,48,7.6,58.33333333,10,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,4,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0
9,4,31,6,32,2.7,66.66666667,19,0,0,0,0,2,0,1,2,0,1,3,0,2,0,0,0,0,1,0,2,3,0,0,2,0,0,0,2,0,3,1,0,0,0,1,2,0,0,0,2,2,0,0,1,2,0,0
10,1,8,14,40,1.4,54.16666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,2,22,39,0,54.16666667,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2,18,15,46,11.5,70.83333333,18,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,1,0,0,3,3,0,0,4,1,2,0,0,0,4,2,0,0,0,3,3,1,0,1,0,3,3,0,0,0,3,0
13,1,1,11,94,0,58.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,10,23,28,21,66.66666667,16,0,0,0,2,0,4,3,0,0,0,2,4,3,1,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,4,0,0,0,0,2,0,0,0,2,3,2,4,0,0,0,0,0
15,2,28,29,30,6.5,66.66666667,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0
17,2,0,35,28,3.1,54.16666667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
19,2,11,5,46,21.6,58.33333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,9,15,60,27.9,66.66666667,18,0,0,0,0,0,0,3,0,0,0,1,2,3,0,0,0,1,0,0,2,1,0,0,3,0,2,0,0,0,3,1,0,0,0,3,3,1,0,1,3,4,3,0,0,0,0,0
21,3,10,15,61,19.6,66.66666667,18,0,0,0,0,0,0,3,0,0,0,1,2,2,0,0,0,0,0,0,2,3,0,0,3,0,2,0,0,0,3,1,0,0,0,3,3,1,3,1,1,3,1,0,0,0,0,0
22,2,4,16,49,4.5,70.83333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
23,2,1,20,37,8.9,58.33333333,7,0,0,0,0,0,0,3,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
25,2,0,10,49,16.3,54.16666667,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
26,1,5,12,43,0.4,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
